"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Building permits, by type of structure and type of work","34100285",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410028501",1;9;10,"CURRENT - a cube available to the public and that is current","Monthly","2017-01-01","2024-12-01","5",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Type of building",,""
"3","Type of work",13,""
"4","Variables",,""
"5","Seasonal adjustment, value type",11;12,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Regina, Saskatchewan","[705]","50","49","",,
"1","Saskatoon, Saskatchewan","[725]","51","49","",,
"1","Red Deer, Alberta","[830]","63","52","",,
"1","Calgary, Alberta","[825]","53","52","",,
"1","Edmonton, Alberta","[835]","54","52","",,
"1","Lethbridge, Alberta","[810]","55","52","",,
"1","Nanaimo, British Columbia","[938]","64","56","",,
"1","Kamloops, British Columbia","[925]","65","56","",,
"1","Chilliwack, British Columbia","[930]","66","56","",,
"1","Abbotsford-Mission, British Columbia","[932]","57","56","",,
"1","Kelowna, British Columbia","[915]","58","56","",,
"1","Vancouver, British Columbia","[933]","59","56","",,
"1","Victoria, British Columbia","[935]","60","56","",,
"1","Canada - total census metropolitan area","","15","","",,
"1","Canada","[11124]","1","","",,
"2","Total major permits residential and non-residential","","2","1","",,
"2","Total minor residential and non-residential","","3","1","",,
"2","Total residential","","4","1","",,
"2","Total non-residential","","33","1","",,
"2","Total major residential project","","5","4","",,
"2","Total minor residential project","","6","4","",,
"2","Single dwelling building total","","7","4","",,
"2","Multiple dwelling building total","","15","4","",,
"2","Total demolitions","","27","4","",,
"2","Major single dwelling  projects","","8","7","",,
"2","Minor single dwelling projects","","9","7","",,
"2","Single total","","10","7","",,
"2","Mobile home","","13","7","",,
"2","Cottage","","14","7","",8,
"2","Single","","11","10","",8,
"2","Single condominium","","12","10","",,
"2","Major multiple dwelling projects","","16","15","",,
"2","Minor multiple dwelling projects","","17","15","",,
"2","Double total","","18","15","",,
"2","Row total","","21","15","",,
"2","Apartment total","","24","15","",,
"2","Double","","19","18","",,
"2","Double condominium","","20","18","",,
"2","Row","","22","21","",,
"2","Row condominium","","23","21","",,
"2","Apartment","","25","24","",,
"2","Apartment condominium","","26","24","",,
"2","Demolition single - detached","","28","27","",,
"2","Demolition cottage","","29","27","",,
"2","Demolition semi-detached","","30","27","",,
"2","Demolition row","","31","27","",,
"2","Demolition apartment","","32","27","",,
"2","Total institutional and governmental","","73","33","",,
"2","Total major non-residential projects","","34","33","",,
"2","Total minor non-residential projects","","35","33","",6,
"2","Total industrial","","36","33","",,
"2","Total commercial","","49","33","",,
"2","Total major industrial projects","","37","36","",,
"2","Total minor industrial projects","","38","36","",6,
"2","Factories, plants","","39","36","",,
"2","Transportation, utilities","","42","36","",,
"2","Mining and agriculture","","46","36","",,
"2","Maintenance building","","40","39","",,
"2","Plant for manufacturing, processing and assembling goods","","41","39","",,
"2","Communication building","","43","42","",,
"2","Transportation terminal","","44","42","",,
"2","Utility building","","45","42","",,
"2","Mining building","","47","46","",,
"2","Agriculture","","48","46","",,
"2","Laboratories","","72","49","",,
"2","Total major commercial projects","","50","49","",,
"2","Total minor commercial projects","","51","49","",6,
"2","Trade and services","","52","49","",,
"2","Warehouses","","57","49","",,
"2","Service stations","","58","49","",,
"2","Office buildings","","59","49","",,
"2","Recreation","","62","49","",,
"2","Hotels, restaurants","","66","49","",,
"2","Motor vehicle show room (new and used) - car dealership, used car, motorcycle and tractor sale","","53","52","",,
"2","Retail and wholesale outlets","","54","52","",,
"2","Retail complex - plaza, mall, shopping center, store and office building","","55","52","",,
"2","Special building use - funeral director, crematorium, mausoleum","","56","52","",,
"2","Office building - consultant's office, doctor's office, insurance company, bank, taxi stand, office with cafeteria, office with smoke shop","","60","59","",,
"2","Office complex, office and store, office and apartment","","61","59","",,
"2","Theatre and performing art center - movie theatre, concert hall, opera house, cultural center","","63","62","",,
"2","Indoor recreational building - sports complex, tennis court and squash, community center, arena, curling club, swimming pool","","64","62","",,
"2","Outdoor recreational building - country club, golf club campground facilities, outdoor skating rink, outdoor swimming pool","","65","62","",,
"2","Hotel, hotel and motel, motor hotel","","68","66","",,
"2","Motel, cabin for tourism","","69","66","",,
"2","Other accommodation - student's residence, boarding house, religious residence, hostel, dormitory","","70","66","",,
"2","Restaurant, bar, tavern, night club, diner, donut shop","","71","66","",,
"2","Convention center, exhibition building","","67","66","",,
"2","Total major institutional and governmental projects","","74","73","",,
"2","Total minor institutional and governmental projects","","75","73","",6,
"2","Schools, education","","76","73","",,
"2","Medical, hospital","","82","73","",,
"2","Welfare, home","","85","73","",,
"2","Churches, religion","","86","73","",,
"2","Government buildings","","87","73","",,
"2","Elementary school, kindergarten","","77","76","",,
"2","Secondary school, high school, junior high school","","78","76","",,
"2","Post-secondary institution - technical institute, trade school","","79","76","",,
"2","University","","80","76","",,
"2","Library, museum, art gallery, aquarium, botanical garden, archive building, scientific center","","81","76","",,
"2","Hospital general - military, specialized","","83","82","",,
"2","Clinic - health unit, out-patient clinic, first aid station","","84","82","",,
"2","Government legislative and administration building other than office building - city hall, court of justice, embassy, parliament and senate building","","88","87","",,
"2","Other government building - police station, prison, fire station, military building","","89","87","",,
"2","Total residential and non-residential","","1","","",,
"3","New dwelling units total","","3","1","",2,
"3","New residential and non-residential constructions, total","","5","1","",,
"3","Improvements total","","12","1","",,
"3","Garage and carport for residential construction, only","","15","1","",,
"3","Conversions total","","16","1","",,
"3","Deconversion total","","20","1","",,
"3","Inground swimming pools for residential construction, only","","23","1","",,
"3","Demolitions for residential dwellings","","24","1","",,
"3","New construction","","6","5","",,
"3","Foundation","","7","5","",,
"3","Superstructure or part of a new building","","8","5","",,
"3","Mechanical","","9","5","",,
"3","Installation of a pre-fabricated building","","10","5","",,
"3","Additional value to previous permit(s)","","11","5","",,
"3","Addition to existing building (structural extension) for non-residential only","","13","12","",,
"3","Alterations and improvements","","14","12","",,
"3","Conversion from single to multiple dwelling","","17","16","",,
"3","Conversion from multiple to multiple dwelling","","18","16","",,
"3","Conversion from non-residential to residential building","","19","16","",,
"3","Deconversion from single to non-residential building","","21","20","",,
"3","Deconversion from multiple to multiple or single dwelling or non-residential building","","22","20","",,
"3","Types of work, total","","1","","",,
"4","Value of permits","","1","","",,
"4","Number of dwelling-units created","","2","","",,
"4","Number of dwelling-units lost","","3","","",,
"4","Number of dwelling-units demolished","","4","","",,
"4","Number of permits","","5","","",,
"5","Unadjusted, current","","1","","",,
"5","Seasonally adjusted, current","","2","","",7,
"5","Unadjusted, constant dollars","","3","","",14,
"5","Seasonally adjusted, constant dollars","","4","","",14,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"2802","Building Permits"

"Subject Code","Subject Name"
"34","Construction"

"Note ID",Note
1,"The Building permits survey covers all Canadian municipalities that issue permits. The number of Canadian municipalities currently surveyed is approximately 2,400, representing all the provinces and territories. They account for 95% of the Canadian population. Historically, the data are not strictly comparable due to the continuing improvement in coverage and the modifications to the geographical areas required to reflect the most recent census definitions."
2,"The present value corresponds only to the value associated to the units created. This value can differ from the value reported under the appellation "residential" in historical tables, due to values associated to the renovation for example."
3,"Formerly Sudbury."
4,"Formerly Ottawa-Hull. Note: to obtain the total for Ottawa-Gatineau CMA, the Ontario part (35505) and Quebec part (24505) will have to be added together."
5,"Formerly Chicoutimi-Jonquière."
6,"Minor non-residential improvements projects refer to permits valued at less than $250,000."
7,"Seasonally adjusted data for the total number of housing units as well as for the aggregate value of building permits are obtained indirectly, for example, by adding their seasonally adjusted components. The total number of dwelling units is obtained by summing the seasonally adjusted data for single- and multiple-family units; the total value of building permits is obtained by summing the following elements: residential, industrial, commercial and institutional. Some series contain no apparent seasonality. In these cases, unadjusted values have been tabulated and aggregated to the adjusted values of the other series. At the end of the year, the chronological series adjusted for seasonality are revised to take into account the most recent seasonal fluctuations."
8,"Beginning in reference month January 2018, the methodology for cottages has changed. Previously, this type of structure was coded as "Single house" if the value of the permit was higher than $60,000. This transformation is no longer performed."
9,"For historical data see table 34100066."
10,"Data processing methodology has been updated as of January 2018. Comparisons between the previous data and the subsequent data should be used with caution."
11,"The sum may not add up to the total due to rounding."
12,"Data for the provincial totals can not be reconciled because data at the census agglomerations and census subdivision levels is not publish in this table."
13,"Detailed information for all types of work may not be available for all regions, as permit regulations and requirements vary by municipality."
14,"Monthly estimates for constant dollars are calculated using quarterly deflators from the Building Construction Price Index (18-10-0276-01).  The monthly indexes used for the deflation process were part of a methodology review to increase the quality of the constant dollar and seasonally adjusted series. They previously displayed a step pattern due to lower frequency collection."

"Correction ID","Correction Date","Correction Note"
